year,fg_name,fg_name_norm,match_method,match_score,ibw_rank,ibw_name,ibw_name_norm,ibw_url
2025,Erick Mejia,erick mejia,none,0,,,,
2025,Jose Espada,jose espada,none,0,,,,
2025,Daniel Robert,daniel robert,none,0,,,,
2025,Justin Hagenman,justin hagenman,none,0,,,,
2025,Elvis Alvarado,elvis alvarado,none,0,,,,
2025,Juan Morillo,juan morillo,none,0,,,,
2025,Cole Winn,cole winn,none,0,,,,
2025,Sean Reynolds,sean reynolds,none,0,,,,
2025,Owen White,owen white,none,0,,,,
2025,Yoendrys Gomez,yoendrys gomez,none,0,,,,
2025,Carlos Vargas,carlos vargas,none,0,,,,
2025,Eduarniel Nunez,eduarniel nunez,none,0,,,,
2025,Michael Mercado,michael mercado,none,0,,,,
2025,Juan Mejia,juan mejia,none,0,,,,
2025,Joey Cantillo,joey cantillo,none,0,,,,
2025,Braxton Ashcraft,braxton ashcraft,none,0,,,,
2025,Omar Cruz,omar cruz,none,0,,,,
2025,Luis Peralta,luis peralta,none,0,,,,
2025,Luinder Avila,luinder avila,none,0,,,,
2025,Carlos Duran,carlos duran,none,0,,,,
2025,Carlos Duran,carlos duran,none,0,,,,
2025,Lyon Richardson,lyon richardson,none,0,,,,
2025,Jonathan Bowlan,jonathan bowlan,none,0,,,,
2025,Luis Curvelo,luis curvelo,none,0,,,,
2025,Mike Burrows,mike burrows,none,0,,,,
2025,Erik Sabrowski,erik sabrowski,none,0,,,,
2025,Jacob Lopez,jacob lopez,none,0,,,,
2025,Brady Basso,brady basso,none,0,,,,
2025,Luis Mey,luis mey,none,0,,,,
2025,Cole Waites,cole waites,none,0,,,,
2025,Zak Kent,zak kent,none,0,,,,
2025,Connor Thomas,connor thomas,none,0,,,,
2025,Seth Johnson,seth johnson,none,0,,,,
2025,Tyler Owens,tyler owens,none,0,,,,
2025,Anthony Maldonado,anthony maldonado,none,0,,,,
2025,Sawyer Gipson-Long,sawyer gipson-long,none,0,,,,
2025,Kade Strowd,kade strowd,none,0,,,,
2025,Andrew Saalfrank,andrew saalfrank,none,0,,,,
2025,Caleb Kilian,caleb kilian,none,0,,,,
2025,Jackson Rutledge,jackson rutledge,none,0,,,,
2025,Orlando Ribalta,orlando ribalta,none,0,,,,
2025,Blake Walston,blake walston,none,0,,,,
2025,Marc Church,marc church,none,0,,,,
2025,Bradley Blalock,bradley blalock,none,0,,,,
2025,Sam Aldegheri,sam aldegheri,none,0,,,,
2025,Trevor McDonald,trevor mcdonald,none,0,,,,
2025,Wikelman Gonzalez,wikelman gonzalez,none,0,,,,
2025,Jairo Iriarte,jairo iriarte,none,0,,,,
2025,Edgardo Henriquez,edgardo henriquez,none,0,,,,
2025,Rolddy Munoz,rolddy munoz,none,0,,,,
2025,Cade Cavalli,cade cavalli,none,0,,,,
2025,Clayton Beeter,clayton beeter,none,0,,,,
2025,Carson Ragsdale,carson ragsdale,none,0,,,,
2025,Kyle Hurt,kyle hurt,none,0,,,,
2025,Cole Henry,cole henry,none,0,,,,
2025,Jake Eder,jake eder,none,0,,,,
2025,Eric Orze,eric orze,none,0,,,,
2025,Connor Phillips,connor phillips,none,0,,,,
2025,Justin Sterner,justin sterner,none,0,,,,
2025,Mick Abel,mick abel,none,0,,,,
2025,Yosver Zulueta,yosver zulueta,none,0,,,,
2025,Zach Brzykcy,zach brzykcy,none,0,,,,
2025,Brandon Young,brandon young,none,0,,,,
2025,J.T. Ginn,j.t. ginn,none,0,,,,
2025,Noah Murdock,noah murdock,none,0,,,,
2025,Ian Seymour,ian seymour,none,0,,,,
2025,Andry Lara,andry lara,none,0,,,,
2025,Cristian Mena,cristian mena,none,0,,,,
2025,Jose Corniell,jose corniell,none,0,,,,
2025,Bradgley Rodriguez,bradgley rodriguez,none,0,,,,
2025,Yilber Diaz,yilber diaz,none,0,,,,
2025,Gordon Graceffo,gordon graceffo,none,0,,,,
2025,Andre Granillo,andre granillo,none,0,,,,
2025,Patrick Monteverde,patrick monteverde,none,0,,,,
2025,Chase Lee,chase lee,none,0,,,,
2025,Matt Svanson,matt svanson,none,0,,,,
2025,Andrew Hoffmann,andrew hoffmann,none,0,,,,
2025,Mason Montgomery,mason montgomery,none,0,,,,
2025,Robert Gasser,robert gasser,none,0,,,,
2025,Nick Nastrini,nick nastrini,none,0,,,,
2025,Ryan Bergert,ryan bergert,none,0,,,,
2025,Chayce McDermott,chayce mcdermott,none,0,,,,
2025,Bubba Chandler,bubba chandler,none,0,,,,
2025,Michael McGreevy,michael mcgreevy,none,0,,,,
2025,Sean Burke,sean burke,none,0,,,,
2025,Dylan Dodd,dylan dodd,none,0,,,,
2025,AJ Smith-Shawver,aj smith-shawver,none,0,,,,
2025,Grant Holman,grant holman,none,0,,,,
2025,Joe Rock,joe rock,none,0,,,,
2025,Carson Seymour,carson seymour,none,0,,,,
2025,Ben Casparius,ben casparius,none,0,,,,
2025,Mike Vasil,mike vasil,none,0,,,,
2025,Jack Neely,jack neely,none,0,,,,
2025,Chad Patrick,chad patrick,none,0,,,,
2025,Ty Madden,ty madden,none,0,,,,
2025,Doug Nikhazy,doug nikhazy,none,0,,,,
2025,Dylan Smith,dylan smith,none,0,,,,
2025,Jack Leiter,jack leiter,none,0,,,,
2025,Dom Hamel,dom hamel,none,0,,,,
2025,Richard Fitts,richard fitts,none,0,,,,
2025,Carlos Rodriguez,carlos rodriguez,none,0,,,,
2025,Carlos Rodriguez,carlos rodriguez,none,0,,,,
2025,Carlos Rodriguez,carlos rodriguez,none,0,,,,
2025,Carlos Rodriguez,carlos rodriguez,none,0,,,,
2025,Chase Petty,chase petty,none,0,,,,
2025,Mason Black,mason black,none,0,,,,
2025,Pierson Ohl,pierson ohl,none,0,,,,
2025,Travis Adams,travis adams,none,0,,,,
2025,Will Warren,will warren,none,0,,,,
2025,Noah Cameron,noah cameron,none,0,,,,
2025,Jackson Jobe,jackson jobe,none,0,,,,
2025,Hunter Dobbins,hunter dobbins,none,0,,,,
2025,Jack Dreyer,jack dreyer,none,0,,,,
2025,Jaden Hill,jaden hill,none,0,,,,
2025,Didier Fuentes,didier fuentes,none,0,,,,
2025,Luis Guerrero,luis guerrero,none,0,,,,
2025,Justin Wrobleski,justin wrobleski,none,0,,,,
2025,Colton Gordon,colton gordon,none,0,,,,
2025,Gunnar Hoglund,gunnar hoglund,none,0,,,,
2025,Jack Perkins,jack perkins,none,0,,,,
2025,Logan Henderson,logan henderson,none,0,,,,
2025,Michael Darrell-Hicks,michael darrell-hicks,none,0,,,,
2025,Caden Dana,caden dana,none,0,,,,
2025,Zach Agnos,zach agnos,none,0,,,,
2025,Mason Fluharty,mason fluharty,none,0,,,,
2025,Paul Gervase,paul gervase,none,0,,,,
2025,Zach Maxwell,zach maxwell,none,0,,,,
2025,Carson Palmquist,carson palmquist,none,0,,,,
2025,David Morgan,david morgan,none,0,,,,
2025,Jacob Misiorowski,jacob misiorowski,none,0,,,,
2025,Carson Whisenhunt,carson whisenhunt,none,0,,,,
2025,Shane Smith,shane smith,none,0,,,,
2025,Blade Tidwell,blade tidwell,none,0,,,,
2025,Mason Barnett,mason barnett,none,0,,,,
2025,Garrett McDaniels,garrett mcdaniels,none,0,,,,
2025,AJ Blubaugh,aj blubaugh,none,0,,,,
2025,Troy Melton,troy melton,none,0,,,,
2025,Cade Gibson,cade gibson,none,0,,,,
2025,Kumar Rocker,kumar rocker,none,0,,,,
2025,Cade Horton,cade horton,none,0,,,,
2025,Adam Mazur,adam mazur,none,0,,,,
2025,Brad Lord,brad lord,none,0,,,,
2025,Parker Messick,parker messick,none,0,,,,
2025,Thomas Harrington,thomas harrington,none,0,,,,
2025,Cam Schlittler,cam schlittler,none,0,,,,
2025,Jonah Tong,jonah tong,none,0,,,,
2025,Luis Morales,luis morales,none,0,,,,
2025,Jake Bloss,jake bloss,none,0,,,,
2025,Hunter Barco,hunter barco,none,0,,,,
2025,Craig Yoho,craig yoho,none,0,,,,
2025,Seth Halvorsen,seth halvorsen,none,0,,,,
2025,Chase Dollander,chase dollander,none,0,,,,
2025,Hurston Waldrep,hurston waldrep,none,0,,,,
2025,Brandyn Garcia,brandyn garcia,none,0,,,,
2025,Mitch Farris,mitch farris,none,0,,,,
2025,Connelly Early,connelly early,none,0,,,,
2025,Logan Evans,logan evans,none,0,,,,
2025,Nolan McLean,nolan mclean,none,0,,,,
2025,Andrew Walters,andrew walters,none,0,,,,
2025,Brandon Sproat,brandon sproat,none,0,,,,
2025,Rhett Lowder,rhett lowder,none,0,,,,
2025,Jose Fermin,jose fermin,none,0,,,,
2025,Grant Taylor,grant taylor,none,0,,,,
2025,Jonathan Pintaro,jonathan pintaro,none,0,,,,
2025,Roki Sasaki,roki sasaki,none,0,,,,
2025,Ryan Johnson,ryan johnson,none,0,,,,
2025,Chase Burns,chase burns,none,0,,,,
2025,Trey Yesavage,trey yesavage,none,0,,,,
2025,Payton Tolle,payton tolle,none,0,,,,
2025,Gerald Ogando,gerald ogando,none,0,,,,
2025,Dalvin Rosario,dalvin rosario,none,0,,,,
2025,Jorge Juan,jorge juan,none,0,,,,
2025,Steven Perez,steven perez,none,0,,,,
2025,Jose Franco,jose franco,none,0,,,,
2025,Royber Salinas,royber salinas,none,0,,,,
2025,Hancel Rincon,hancel rincon,none,0,,,,
2025,Listher Sosa,listher sosa,none,0,,,,
2025,Edgar Isea,edgar isea,none,0,,,,
2025,Luis Velasquez,luis velasquez,none,0,,,,
2025,Anthony Nunez,anthony nunez,none,0,,,,
2025,Adam Macko,adam macko,none,0,,,,
2025,Yosber Sanchez,yosber sanchez,none,0,,,,
2025,Gabriel Sosa,gabriel sosa,none,0,,,,
2025,Sem Robberse,sem robberse,none,0,,,,
2025,Gavin Collyer,gavin collyer,none,0,,,,
2025,Ben Peoples,ben peoples,none,0,,,,
2025,Shane Drohan,shane drohan,none,0,,,,
2025,Nick Frasso,nick frasso,none,0,,,,
2025,Tekoah Roby,tekoah roby,none,0,,,,
2025,Dax Fulton,dax fulton,none,0,,,,
2025,Marco Raya,marco raya,none,0,,,,
2025,Luis Perales,luis perales,none,0,,,,
2025,Alex Santos II,alex santos ii,none,0,,,,
2025,Stevie Emanuels,stevie emanuels,none,0,,,,
2025,Po-Yu Chen,po-yu chen,none,0,,,,
2025,Tink Hence,tink hence,none,0,,,,
2025,Braxton Roxby,braxton roxby,none,0,,,,
2025,Carson Coleman,carson coleman,none,0,,,,
2025,Evan Reifert,evan reifert,none,0,,,,
2025,Kyle Brnovich,kyle brnovich,none,0,,,,
2025,Jack Dashwood,jack dashwood,none,0,,,,
2025,Jose Davila,jose davila,none,0,,,,
2025,Coleman Crow,coleman crow,none,0,,,,
2025,Alejandro Hidalgo,alejandro hidalgo,none,0,,,,
2025,Emiliano Teodo,emiliano teodo,none,0,,,,
2025,Victor Lizarraga,victor lizarraga,none,0,,,,
2025,Wilmer Flores,wilmer flores,none,0,,,,
2025,Brandan Bidois,brandan bidois,none,0,,,,
2025,Josh Stephan,josh stephan,none,0,,,,
2025,Elison Joseph,elison joseph,none,0,,,,
2025,Jose Acuna,jose acuna,none,0,,,,
2025,Aidan Curry,aidan curry,none,0,,,,
2025,Moises Chace,moises chace,none,0,,,,
2025,Yerlin Rodriguez,yerlin rodriguez,none,0,,,,
2025,Adrian Rodriguez,adrian rodriguez,none,0,,,,
2025,Adrian Rodriguez,adrian rodriguez,none,0,,,,
2025,Adrian Rodriguez,adrian rodriguez,none,0,,,,
2025,Eiberson Castellano,eiberson castellano,none,0,,,,
2025,Jean Cabrera,jean cabrera,none,0,,,,
2025,Jose Rodriguez,jose rodriguez,none,0,,,,
2025,Jose Rodriguez,jose rodriguez,none,0,,,,
2025,Jose Rodriguez,jose rodriguez,none,0,,,,
2025,Yoniel Curet,yoniel curet,none,0,,,,
2025,Juan Nunez,juan nunez,none,0,,,,
2025,Juan Nunez,juan nunez,none,0,,,,
2025,Yordanny Monegro,yordanny monegro,none,0,,,,
2025,Alimber Santa,alimber santa,none,0,,,,
2025,Joel Diaz,joel diaz,none,0,,,,
2025,Yaqui Rivera,yaqui rivera,none,0,,,,
2025,Miguel Mendez,miguel mendez,none,0,,,,
2025,Yorman Gomez,yorman gomez,none,0,,,,
2025,Winston Santos,winston santos,none,0,,,,
2025,Alexander Alberto,alexander alberto,none,0,,,,
2025,Randel Clemente,randel clemente,none,0,,,,
2025,Gerelmi Maldonado,gerelmi maldonado,none,0,,,,
2025,Jordy Vargas,jordy vargas,none,0,,,,
2025,Ricardo Yan,ricardo yan,none,0,,,,
2025,Welinton Herrera,welinton herrera,none,0,,,,
2025,Felipe De La Cruz,felipe de la cruz,none,0,,,,
2025,Henry Lalane,henry lalane,none,0,,,,
2025,Jaydenn  Estanista,jaydenn estanista,none,0,,,,
2025,Jedixson Paez,jedixson paez,none,0,,,,
2025,Jose Olivares,jose olivares,none,0,,,,
2025,Keythel Key,keythel key,none,0,,,,
2025,Yendy Gomez,yendy gomez,none,0,,,,
2025,Jarold Rosado,jarold rosado,none,0,,,,
2025,Miguel Ullola,miguel ullola,none,0,,,,
2025,Felix Arronde,felix arronde,none,0,,,,
2025,Luis Serna,luis serna,none,0,,,,
2025,Henry Baez,henry baez,none,0,,,,
2025,Jhoniel Serrano,jhoniel serrano,none,0,,,,
2025,Kendry Rojas,kendry rojas,none,0,,,,
2025,Andrew Moore,andrew moore,none,0,,,,
2025,Douglas Orellana,douglas orellana,none,0,,,,
2025,Gabriel Reyes,gabriel reyes,none,0,,,,
2025,Luis Alvarez,luis alvarez,none,0,,,,
2025,Ismael Agreda,ismael agreda,none,0,,,,
2025,Michael Arias,michael arias,none,0,,,,
2025,Austin Vernon,austin vernon,none,0,,,,
2025,Tyson Guerrero,tyson guerrero,none,0,,,,
2025,Andrew Baker,andrew baker,none,0,,,,
2025,Luis R. Rodriguez,luis r. rodriguez,none,0,,,,
2025,Logan Workman,logan workman,none,0,,,,
2025,Ryan Cusick,ryan cusick,none,0,,,,
2025,Tanner McDougal,tanner mcdougal,none,0,,,,
2025,Alex Pham,alex pham,none,0,,,,
2025,Riley Martin,riley martin,none,0,,,,
2025,Austin Love,austin love,none,0,,,,
2025,Tyler Uberstine,tyler uberstine,none,0,,,,
2025,Raimon Gomez,raimon gomez,none,0,,,,
2025,Mitch Bratt,mitch bratt,none,0,,,,
2025,Ronan Kopp,ronan kopp,none,0,,,,
2025,Michael Morales,michael morales,none,0,,,,
2025,RJ Petit,rj petit,none,0,,,,
2025,Will Dion,will dion,none,0,,,,
2025,Zac Leigh,zac leigh,none,0,,,,
2025,Kevin Abel,kevin abel,none,0,,,,
2025,Andrew Painter,andrew painter,none,0,,,,
2025,Eric Cerantola,eric cerantola,none,0,,,,
2025,Peter Heubeck,peter heubeck,none,0,,,,
2025,Brock Selvidge,brock selvidge,none,0,,,,
2025,Tyler Mattison,tyler mattison,none,0,,,,
2025,Franco Aleman,franco aleman,none,0,,,,
2025,Robby Ahlstrom,robby ahlstrom,none,0,,,,
2025,Frank Mozzicato,frank mozzicato,none,0,,,,
2025,Jack Hartman,jack hartman,none,0,,,,
2025,Ben Kudrna,ben kudrna,none,0,,,,
2025,Shane Panzini,shane panzini,none,0,,,,
2025,Anthony Solometo,anthony solometo,none,0,,,,
2025,Walbert Urena,walbert urena,none,0,,,,
2025,Reynaldo Yean,reynaldo yean,none,0,,,,
2025,Kendeglys Virguez,kendeglys virguez,none,0,,,,
2025,Yunior Marte,yunior marte,none,0,,,,
2025,Yunior Marte,yunior marte,none,0,,,,
2025,Joseph Montalvo,joseph montalvo,none,0,,,,
2025,Jarlin Susana,jarlin susana,none,0,,,,
2025,Fernando Perez,fernando perez,none,0,,,,
2025,Jose Chirinos,jose chirinos,none,0,,,,
2025,Christian Zazueta,christian zazueta,none,0,,,,
2025,Richard Fernandez,richard fernandez,none,0,,,,
2025,Juan Amarante,juan amarante,none,0,,,,
2025,Aldrin Batista,aldrin batista,none,0,,,,
2025,Enrique Segura,enrique segura,none,0,,,,
2025,Hansel Rosario,hansel rosario,none,0,,,,
2025,Jose Fleury,jose fleury,none,0,,,,
2025,Wellington Aracena,wellington aracena,none,0,,,,
2025,Leonel Sequera,leonel sequera,none,0,,,,
2025,Sean Paul Linan,sean paul linan,none,0,,,,
2025,Yu-Min Lin,yu-min lin,none,0,,,,
2025,Luis De Leon,luis de leon,none,0,,,,
2025,Luis De Leon,luis de leon,none,0,,,,
2025,Luis De Leon,luis de leon,none,0,,,,
2025,Jhancarlos  Lara,jhancarlos lara,none,0,,,,
2025,Francis Pena,francis pena,none,0,,,,
2025,Santiago Suarez,santiago suarez,none,0,,,,
2025,Carlos Lagrange,carlos lagrange,none,0,,,,
2025,Wilmy Sanchez,wilmy sanchez,none,0,,,,
2025,Elmer Rodriguez-Cruz,elmer rodriguez-cruz,none,0,,,,
2025,Franyer Herrera,franyer herrera,none,0,,,,
2025,Carlos Espinosa,carlos espinosa,none,0,,,,
2025,Yeri Perez,yeri perez,none,0,,,,
2025,Liomar Martinez,liomar martinez,none,0,,,,
2025,Juan Bello,juan bello,none,0,,,,
2025,Jogly Garcia,jogly garcia,none,0,,,,
2025,Yordy Herrera,yordy herrera,none,0,,,,
2025,Ovis Portes,ovis portes,none,0,,,,
2025,Joel Hurtado,joel hurtado,none,0,,,,
2025,Anders Tolhurst,anders tolhurst,none,0,,,,
2025,Dale Stanavich,dale stanavich,none,0,,,,
2025,Josh White,josh white,none,0,,,,
